,model,Exp. 1,Exp. 2
0,BS simple,956.9175376053546,-5371.944608646983
1,BS complex,1174.3709176309171,-5099.280464552781
2,PT+N simple,1257.519966228404,-4901.106207956662
3,PT+N complex,1039.7315737683211,-5159.638213495084
4,BS avg.,1065.6442276181358,-5235.612536599882
5,PT+N avg.,1148.6257699983626,-5030.372210725873
