,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
ptn,0,-24053.38510857324,573.9778137963513,0.0,0.9368781434229737,92.05334208949131,0.0,True,log
bs,1,-25376.01600689628,1177.3205342845977,1322.6308983230406,0.06312188842189193,100.90887024856002,55.973115949494726,True,log
bs-varying,2,-26027.46383145848,2154.5579921526914,1974.0787228852391,0.0,94.15455151435398,53.91000514968226,True,log
