,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
ptn,0,-12256.001946873836,437.8547469932473,0.0,0.9141790978046985,91.73432833700201,0.0,True,log
bs-varying,1,-14079.743741927625,1617.7993956226492,1823.7417950537897,0.06957107372016733,83.24634124108643,74.5333179762483,True,log
bs,2,-14866.731372757642,1384.5450594653175,2610.729425883806,0.01624982847513412,74.85925487929718,83.83456380951131,True,log
